"","x"
"1","Fau"
"2","Rps27l"
"3","Rps28"
"4","Rps29"
"5","Rps26"
"6","Rps27"
"7","Rps27a"
"8","Rps23"
"9","Rps24"
"10","Rps25"
"11","Rps17"
"12","Rps16"
"13","Rps9"
"14","Rps8"
"15","Rps7"
"16","Rps6"
"17","Rps19"
"18","Rps18"
"19","Rps20"
"20","Rps2"
"21","Rps3a1"
"22","Rps3"
"23","Rps21"
"24","Rps4x"
"25","Rps5"
"26","Rps11"
"27","Rps12"
"28","Rps13"
"29","Rps14"
"30","Rps10"
"31","Rps15"
"32","Rps15a"
"33","Rpsa"
"34","Rpl7a"
"35","Rpl27"
"36","Rpl27a"
"37","Rpl6"
"38","Rpl7"
"39","Rpl5"
"40","Rpl13a"
"41","Rpl14"
"42","Rpl15"
"43","Rpl17"
"44","Rpl26"
"45","Rpl12"
"46","Rpl24"
"47","Rpl9"
"48","Rplp0"
"49","Rplp2"
"50","Rpl10"
"51","Rpl10a"
"52","Rpl36a"
"53","Rpl7l1"
"54","Rpl41"
"55","Rpl4"
"56","Rpl39"
"57","Rpl21"
"58","Rpl19"
"59","Rpl18a"
"60","Rpl23a"
"61","Rpl23"
"62","Rpl22"
"63","Rplp1"
"64","Rpl29"
"65","Rpl28"
"66","Rpl30"
"67","Rpl3"
"68","Rpl31"
"69","Rpl11"
"70","Rpl8"
"71","Uba52"
"72","Rpl32"
"73","Rpl36"
"74","Rpl37a"
"75","Rpl38"
"76","Rpl34"
"77","Rpl35"
"78","Rpl35a"
"79","Rpl36al"
"80","Rpl37"
"81","Rpl13"
"82","Rpl18"
"83","Rpl22l1"
"84","Rack1"
