;library_prep;external_donor_name;age_cat;sex;facs_population_plan;roi;age;ncell;mean.gc;mean.umi;mean.reads;full_genotype
1;L8TX_190327_01_B04;450087;adult;M;RFP-positive, DAPI-negative;CNU - PAL;56;1698;4206.122497;15229.64429;39205.947;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
2;L8TX_190327_01_C04;450087;adult;M;RFP-positive, DAPI-negative;CNU - PAL;56;1333;4290.510878;15711.36309;37151.57989;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
3;L8TX_190327_01_D04;450087;adult;M;RFP-positive, DAPI-negative;CNU - PAL;56;1696;4416.611439;15981.90979;60887.9145;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
4;L8TX_190327_01_E04;450087;adult;M;RFP-positive, DAPI-negative;CNU - PAL;56;1746;4572.064147;17590.96621;65683.91695;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
5;L8TX_190327_01_F04;450095;adult;F;RFP-positive, DAPI-negative;STR - sAMY;56;89;4889.044944;18521;50808.67416;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
6;L8TX_190327_01_G04;450095;adult;F;RFP-positive, DAPI-negative;STR - sAMY;56;642;4365.668224;15715.60748;57387.21028;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
7;L8TX_190509_01_A10;459495;adult;F;RFP-positive, DAPI-negative;CNU - PAL;56;1600;4815.94375;21055.90875;103587.6175;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
8;L8TX_190509_01_C09;459490;adult;M;RFP-positive, DAPI-negative;STR - sAMY;56;757;3993.966975;13176.85073;46319.56671;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
9;L8TX_190509_01_D09;459490;adult;M;RFP-positive, DAPI-negative;STR - sAMY;56;628;4219.582803;14951.04777;48509.06529;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
10;L8TX_190509_01_E09;459490;adult;M;RFP-positive, DAPI-negative;STR - sAMY;56;746;4130.301609;13944.67694;45350.81501;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
11;L8TX_190509_01_F09;459495;adult;F;RFP-positive, DAPI-negative;CNU - PAL;56;1296;4958.201389;22289.15895;108088.0826;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
12;L8TX_190509_01_G09;459495;adult;F;RFP-positive, DAPI-negative;CNU - PAL;56;1241;5026.493956;23104.73892;110613.4392;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
13;L8TX_190509_01_H09;459495;adult;F;RFP-positive, DAPI-negative;CNU - PAL;56;1403;4927.470421;22000.54098;104092.1882;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
14;L8TX_190531_01_A01;463943;adult;F;RFP-positive, DAPI-negative;STR - sAMY;56;464;4272.094828;15033.47198;41392.8556;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
15;L8TX_190531_01_A02;462434;adult;M;RFP-positive, DAPI-negative;STR - sAMY;69;424;3926.365566;12865.7217;43671.35142;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
16;L8TX_190531_01_B01;463943;adult;F;RFP-positive, DAPI-negative;STR - sAMY;56;562;4217.044484;13976.2331;34273.45018;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
17;L8TX_190531_01_B02;462434;adult;M;RFP-positive, DAPI-negative;STR - sAMY;69;511;4253.637965;15392.46575;51593.15851;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
